name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
SPAR market,supermarket,47.495518700000005,19.0295843,34.041666666666664,28.898499336278498,40.458333333333336,34.75147378969064,39.791666666666664,35.20650882846649,39.541666666666664,35.26445231706033,33.708333333333336,28.8580999124259
National tobacco shop,store,47.5969444,19.1208333,25.166666666666668,22.317158321693995,26.958333333333332,22.718346416253297,29.416666666666668,22.76312197881086,34.875,30.53456033742749,30.666666666666668,27.75437903386699
Korányi Patika,pharmacy,47.482577500000005,19.081787,16.416666666666668,24.958159431781464,20.791666666666668,28.837156538435305,20.25,32.423306946289934,18.458333333333332,26.990706991275516,17.416666666666668,24.93310494547805
"Budapest, Post Office No. 63.",post_office,47.512544500000004,19.0676395,19.666666666666668,30.581403208849363,21.458333333333332,32.09877874970047,23.583333333333332,36.643458564327084,19.916666666666668,30.798967334780702,17.5,27.654113618049667
Vakum Design,art_gallery,47.53499179999999,19.042880800000002,0.0,0.0,0.0,0.0,19.916666666666668,34.65775125743478,19.833333333333332,35.169431170959946,18.625,32.66472677063135
VW-AUDI Demolition,car_repair,47.4557948,19.175873899999996,28.875,38.73985082143021,25.916666666666668,33.75020576068965,30.291666666666668,40.12737964560136,29.708333333333332,39.147668264604924,20.916666666666668,28.136448287270056
COPYGURU - Kálvin,store,47.4893246,19.0636215,23.291666666666668,32.094235160781686,27.416666666666668,38.314397496966535,25.791666666666668,35.460046962117175,25.041666666666668,34.61150960623102,19.208333333333332,25.579906122232394
Volferrum Vasárubolt,hardware_store,47.503788799999995,19.0209215,13.875,21.979749202390824,23.625,37.731300556257885,23.25,36.70405290972647,17.291666666666668,28.6799569482863,19.291666666666668,33.73361227651468
Cservenák Méteráru Rövidáru Lakástextil,home_goods_store,47.42713079999999,19.222778100000003,23.791666666666668,31.764733020897385,25.208333333333332,34.95589979610818,25.291666666666668,33.58754626180497,22.958333333333332,31.120035302393575,25.208333333333332,34.98806840275061
Ott Service Kft.,car_repair,47.462697399999996,19.010804699999998,24.333333333333332,32.936386498150576,22.375,29.715053003486297,25.833333333333332,34.777467162262155,25.583333333333332,34.54817489953542,23.166666666666668,30.34752415308738
Mix-R Cukrászda Kávéház és Fagyizó,bakery,47.5189041,19.1111174,19.083333333333332,26.76583124474602,12.083333333333334,16.339922140437373,11.583333333333334,18.973482957948324,14.916666666666666,21.696613919124697,15.375,21.688730752781886
Latitudes Könyvesbolt Librairie,book_store,47.501129799999994,19.039500699999998,15.583333333333334,24.083044980972726,18.041666666666668,25.66527999500925,21.041666666666668,32.69107825114097,20.875,30.488129520629283,13.291666666666666,19.22775590707928
Franz Liszt Memorial Museum,museum,47.506913399999995,19.066522,11.25,16.248717898139944,12.541666666666666,17.86052249764516,12.958333333333334,18.60214854675544,11.125,16.243748797614423,11.875,17.352503421696824
AUTO-HOUSE KFT.,car_dealer,47.5216545,19.1669068,22.125,31.816285793075636,24.416666666666668,34.94151860211891,23.458333333333332,34.708283313289286,27.0,38.71799753775153,21.375,31.53808874466978
Door-System Kft.,electrician,47.592341,19.1036124,18.125,26.439100621365068,17.416666666666668,25.604225996676583,19.041666666666668,27.906807960702984,18.833333333333332,29.221377258590824,16.625,26.17061408654116
Chili Fitness 3,gym,47.527833,19.0848833,29.375,28.099247469164247,30.958333333333332,29.90328739824808,30.666666666666668,28.575436226863722,30.916666666666668,27.116902273100607,24.666666666666668,20.117709169341875
GYÖNGYBARLANG - Tenyésztett gyöngy és ásványékszer kis- és nagykereskedés,jewelry_store,47.563517700000006,19.0876092,19.041666666666668,30.068642534854956,22.666666666666668,35.858130954576474,27.041666666666668,36.03179055439176,17.125,27.04827859587371,16.916666666666668,27.109218399323545
